"","location_name","total_population","total_commuters","less_than_5_min","5_to_9_min","10_to_14_min","15_to_19_min","20_to_24_min","25_to_29_min","30_to_34_min","35_to_39_min","40_to_44_min","45_to_59_min","60_to_89_min","90_or_more_min","state","puma","median_commuter_number","median_commute_bins","median_commute_bin_number","percent_more_than_hour","percent_more_than_90"
"47","DuPage County (Southwest)--Naperville & Winfield (South) Townships PUMA, Illinois",120066,58737,1048,3819,7918,6082,7635,2625,8646,1485,2818,5538,8590,2533,"17","03209",29369,"30_to_34_min",10,19,4
"57","Cook County (Southwest)--Orland (West & Central), Palos & Lemont Townships PUMA; Illinois",173807,77331,1198,4661,8202,8160,7983,3956,11251,3041,5108,8788,12475,2508,"17","03410",38666,"30_to_34_min",10,19,3
"40","Will County (South) PUMA, Illinois",112895,53305,1409,3398,5044,4271,5723,3495,8702,2160,3202,6389,6964,2548,"17","03108",26653,"30_to_34_min",10,18,5
"84","Chicago City (South)--Ashburn, Washington Heights, Morgan Park & Beverly PUMA; Illinois",136370,60970,133,2079,4390,5412,6084,4148,10642,2585,5198,9437,8351,2511,"17","03530",30486,"30_to_34_min",10,18,4
"88","McHenry County (Southeast)--Algonquin, McHenry & Nunda Townships PUMA; Illinois",171694,87904,1352,8158,11301,11773,8337,3611,8906,3211,4625,10977,11277,4376,"17","03602",43952,"25_to_29_min",9,18,5
"70","Chicago City (North)--Edgewater, Uptown & Rogers Park PUMA; Illinois",170721,89953,442,2953,4217,6588,6895,5415,13018,5080,9158,20501,13380,2306,"17","03501",44977,"40_to_44_min",12,17,3
"73","Chicago City (Northwest)--Irving Park, Albany Park, Forest Glen & North Park PUMA; Illinois",147974,74999,648,2484,3289,4966,6856,3028,15639,3725,9081,12858,11581,844,"17","03504",37500,"35_to_39_min",11,17,1
"37","Will County (Northwest Central)--Plainfield & Lockport Townships PUMA, Illinois",142051,65857,573,4440,6804,6276,8022,6223,8760,3203,3271,7379,7884,3022,"17","03105",32929,"30_to_34_min",10,17,5
"58","Cook County (South Central)--Worth & Calumet Townships PUMA, Illinois",170365,77227,1492,4996,6795,10350,7834,3191,10472,2248,6760,10268,10364,2457,"17","03411",38614,"30_to_34_min",10,17,3
"74","Chicago City (Northwest)--Portage Park, Dunning & Jefferson Park PUMA; Illinois",125270,65724,79,1470,3109,4546,6712,4250,15860,3481,4316,10837,9096,1968,"17","03520",32862,"30_to_34_min",10,17,3
"81","Chicago City (Southwest)--Gage Park, Garfield Ridge & West Lawn PUMA; Illinois",158146,65310,296,2633,5123,5239,7512,2921,14073,2078,4259,10182,8473,2521,"17","03527",32656,"30_to_34_min",10,17,4
"89","Kendall & Grundy Counties PUMA, Illinois",175132,85302,2736,7497,9240,9919,11922,4531,7689,2520,5414,9437,11334,3063,"17","03700",42652,"25_to_29_min",9,17,4
"50","Lake County (Southwest)--Ela, Freemont, Wauconda & Cuba Townships PUMA; Illinois",119799,55314,931,3717,4920,4941,3927,4316,7179,2448,4852,8965,7317,1801,"17","03308",27658,"30_to_34_min",10,16,3
"41","DuPage County (Central)--Milton Township PUMA, Illinois",118034,50598,1047,4689,5884,6512,6323,3403,5660,1676,1742,5474,6518,1670,"17","03202",25300,"25_to_29_min",9,16,3
"87","McHenry County (North, West & Central) PUMA; Illinois",135264,62489,1393,6382,6548,7404,7286,3612,5505,2833,2831,8881,7129,2685,"17","03601",31245,"25_to_29_min",9,16,4
"61","Cook County (South)--Bloom & Rich Townships PUMA, Illinois",166755,68943,538,3292,7448,9129,10271,4172,7021,3089,2765,10843,7642,2733,"17","03414",34472,"25_to_29_min",9,15,4
